item,data_lancamento,lanc_Ent_qtd,lanc_Ent_valor,lanc_Sai_qtd,lanc_Sai_valor,saldo_inicio_valor,saldo_inicio_qtd,saldo_final_valor,saldo_final_qtd
81.30.019-4,01/08/2012,0.0,0.0,144.0,2018.53,29296.57,2090.0,27278.04,1946.0
81.30.019-4,02/08/2012,150.0,2102.63,212.0,2971.7200000000003,27278.04,1946.0,26408.95,1884.0
81.30.019-4,03/08/2012,100.0,1401.75,213.0,2985.74,26408.95,1884.0,24824.96,1771.0
81.30.019-4,06/08/2012,150.0,2102.63,279.0,3910.9,24824.96,1771.0,23016.69,1642.0
81.30.019-4,07/08/2012,0.0,0.0,106.0,1485.8700000000001,23016.69,1642.0,21530.82,1536.0
81.30.019-4,08/08/2012,150.0,2102.63,272.0,3812.78,21530.82,1536.0,19820.670000000002,1414.0
81.30.019-4,09/08/2012,150.0,2102.63,214.0,2999.77,19820.670000000002,1414.0,18923.530000000002,1350.0
81.30.019-4,10/08/2012,100.0,1401.75,332.0,4653.82,18923.530000000002,1350.0,15671.460000000003,1118.0
81.30.019-4,13/08/2012,300.0,4205.25,307.0,4303.37,15671.460000000003,1118.0,15573.340000000004,1111.0
81.30.019-4,14/08/2012,100.0,1401.75,0.0,0.0,15573.340000000004,1111.0,16975.090000000004,1211.0
81.30.019-4,15/08/2012,0.0,0.0,133.0,1864.3400000000001,16975.090000000004,1211.0,15110.750000000004,1078.0
81.30.019-4,16/08/2012,0.0,0.0,236.0,3308.13,15110.750000000004,1078.0,11802.620000000003,842.0
81.30.019-4,17/08/2012,200.0,2803.5,316.0,4429.54,11802.620000000003,842.0,10176.580000000002,726.0
81.30.019-4,20/08/2012,100.0,1401.75,202.0,2831.54,10176.580000000002,726.0,8746.79,624.0
81.30.019-4,21/08/2012,1327.0,18601.230000000003,447.0,6265.84,8746.79,624.0,21082.180000000004,1504.0
81.30.019-4,22/08/2012,0.0,0.0,59.0,827.04,21082.180000000004,1504.0,20255.140000000003,1445.0
81.30.019-4,23/08/2012,100.0,1401.75,204.0,2859.57,20255.140000000003,1445.0,18797.320000000003,1341.0
81.30.019-4,24/08/2012,100.0,1401.75,142.0,1990.49,18797.320000000003,1341.0,18208.58,1299.0
81.30.019-4,27/08/2012,150.0,2102.63,157.0,2200.76,18208.58,1299.0,18110.450000000004,1292.0
81.30.019-4,28/08/2012,1000.0,14017.5,78.0,1093.3799999999999,18110.450000000004,1292.0,31034.570000000003,2214.0
81.30.019-4,29/08/2012,0.0,0.0,64.0,897.1299999999999,31034.570000000003,2214.0,30137.440000000002,2150.0
81.30.019-4,30/08/2012,0.0,0.0,173.0,2425.04,30137.440000000002,2150.0,27712.4,1977.0
81.30.019-4,31/08/2012,254.0,3560.5600000000004,390.0,5466.9400000000005,27712.4,1977.0,25806.020000000004,1841.0
81.30.019-4,03/09/2012,100.0,1401.75,339.0,4751.93,25806.020000000004,1841.0,22455.840000000004,1602.0
81.30.019-4,04/09/2012,150.0,2102.62,436.0,6111.620000000001,22455.840000000004,1602.0,18446.840000000004,1316.0
81.30.019-4,05/09/2012,1150.0,16120.119999999999,269.0,3770.7,18446.840000000004,1316.0,30796.260000000006,2197.0
81.30.019-4,06/09/2012,100.0,1401.75,229.0,3210.0,30796.260000000006,2197.0,28988.010000000006,2068.0
81.30.019-4,10/09/2012,0.0,0.0,46.0,644.81,28988.010000000006,2068.0,28343.200000000004,2022.0
